id_produto,nome_produto,id_ingrediente,nome_ingrediente,quantidade,unidade
PAN-018,KIT FEIJOADA,ING-001,Arroz Branco,1.0,UN
PAN-018,KIT FEIJOADA,ING-005,Feijoada,1.0,UN
PAN-017,KIT ESTROGONOFE DE FRANGO,ING-001,Arroz Branco,1.0,UN
PAN-017,KIT ESTROGONOFE DE FRANGO,ING-006,Estrogonofe de Frango,1.0,UN
PAN-015,KIT ESTROGONOFE DE CARNE,ING-001,Arroz Branco,1.0,UN
PAN-015,KIT ESTROGONOFE DE CARNE,ING-020,Estrogonofe de Carne,1.0,UN
PAN-019,KIT FRANGO COM QUIABO,ING-001,Arroz Branco,1.0,UN
PAN-019,KIT FRANGO COM QUIABO,ING-025,Angu,1.0,UN
PAN-019,KIT FRANGO COM QUIABO,ING-009,Frango com Quiabo,1.0,UN
PAN-025,KIT GALINHADA COM PEQUI,ING-003,Arroz com Alcatrao,1.0,UN
PAN-025,KIT GALINHADA COM PEQUI,ING-016,Galinhada com Pequi,1.0,UN
PAN-026,KIT GALINHADA,ING-003,Arroz com Alcatrao,1.0,UN
PAN-026,KIT GALINHADA,ING-017,Galinhada,1.0,UN
PAN-028,KIT MOQUECA DE BANANA DA TERRA,ING-001,Arroz Branco,1.0,UN
PAN-028,KIT MOQUECA DE BANANA DA TERRA,ING-010,Moqueca de Banana da Terra,1.0,UN
PAN-029,KIT PICADINHO DE CARNE,ING-001,Arroz Branco,1.0,UN
PAN-029,KIT PICADINHO DE CARNE,ING-011,Picadinho de Carne,1.0,UN
PAN-011,KIT COSTELA GOURMET,ING-001,Arroz Branco,1.0,UN
PAN-011,KIT COSTELA GOURMET,ING-026,Pure de Mandioca,1.0,UN
PAN-011,KIT COSTELA GOURMET,ING-012,Costela Desfiada,1.0,UN
PAN-031,KIT CARNE MOIDA COM LEGUMES,ING-001,Arroz Branco,1.0,UN
PAN-031,KIT CARNE MOIDA COM LEGUMES,ING-008,Carne com Legumes,1.0,UN
PAN-031,KIT CARNE MOIDA COM LEGUMES,ING-024,Feijao Carioca,1.0,UN
PAN-016,KIT ESTROGONOFE DE FRANGO 220g - KIDS,ING-001,Arroz Branco,1.0,UN
PAN-016,KIT ESTROGONOFE DE FRANGO 220g - KIDS,ING-014,Estrogonofe Kids,1.0,UN
PAN-023,"FILE DE FRANGO 100g, ARROZ BRANCO 150g E PURE",ING-001,Arroz Branco,1.0,UN
PAN-023,"FILE DE FRANGO 100g, ARROZ BRANCO 150g E PURE",ING-015,Filezinho de Frango,1.0,UN
PAN-023,"FILE DE FRANGO 100g, ARROZ BRANCO 150g E PURE",ING-027,Pure de Batata,1.0,UN
PAN-024,FILEZINHO DE FRANGO COM ARROZ E PURE 260g - KIDS,ING-001,Arroz Branco,1.0,UN
