id_item,nome,categoria,local,unidade,saldo_atual,ultima_atualizacao
HRT-001,Couve Higienizada,Hortifruti,Geladeira,KG,40.0,2026-05-27 10:56:23
EMB-001,Embalagem Seladora 20x30,Embalagem,Estoque Seco,UN,2300.0,2026-05-27 09:27:26
OPR-001,Luva Descartavel M,Operacional,Estoque Seco,UN,400.0,2026-05-27 10:56:49
ING-001,Arroz Branco,Ingrediente,Camara Fria,UN,419.0,2026-05-28 12:19:41
ING-002,Arroz com Caldo de Carne,Ingrediente,Camara Fria,UN,286.0,2026-05-28 12:07:29
ING-003,Arroz com Alcatrao,Ingrediente,Camara Fria,UN,78.0,2026-05-28 12:07:16
ING-004,Arroz com Brocolis,Ingrediente,Camara Fria,UN,36.0,2026-05-28 12:06:47
ING-005,Feijoada,Ingrediente,Camara Fria,UN,30.0,2026-05-28 12:06:23
ING-006,Estrogonofe de Frango,Ingrediente,Camara Fria,UN,80.0,2026-05-28 12:06:18
ING-007,Frango a Parmegiana,Ingrediente,Camara Fria,UN,38.0,2026-05-28 12:06:34
ING-008,Carne com Legumes,Ingrediente,Camara Fria,UN,131.0,2026-05-28 12:07:44
ING-009,Frango com Quiabo,Ingrediente,Camara Fria,UN,14.0,2026-05-28 12:06:31
ING-010,Moqueca de Banana da Terra,Ingrediente,Camara Fria,UN,50.0,2026-05-26 15:20:30
ING-011,Picadinho de Carne,Ingrediente,Camara Fria,UN,6.0,2026-05-28 12:07:28
ING-012,Costela Desfiada,Ingrediente,Camara Fria,UN,53.0,2026-05-28 12:05:45
ING-013,Sassami,Ingrediente,Camara Fria,UN,57.0,2026-05-28 12:07:38
ING-014,Estrogonofe Kids,Ingrediente,Camara Fria,UN,15.0,2026-05-28 12:06:13
ING-015,Filezinho de Frango,Ingrediente,Camara Fria,UN,101.0,2026-05-28 12:07:05
ING-016,Galinhada com Pequi,Ingrediente,Camara Fria,UN,36.0,2026-05-28 12:07:13
ING-017,Galinhada,Ingrediente,Camara Fria,UN,2.0,2026-05-28 12:07:18
ING-018,Baiao de Dois,Ingrediente,Camara Fria,UN,85.0,2026-05-28 12:05:36
ING-019,Mexidinho Mineiro,Ingrediente,Camara Fria,UN,51.0,2026-05-28 12:07:23
ING-020,Estrogonofe de Carne,Ingrediente,Camara Fria,UN,54.0,2026-05-28 12:06:07
ING-021,Caldo de Frango com Milho,Ingrediente,Camara Fria,UN,0.0,2026-05-22 14:44:00
ING-022,Caldo de Carne com Mandioca,Ingrediente,Camara Fria,UN,0.0,2026-05-22 14:44:00
ING-023,Molho Pomodoro,Ingrediente,Camara Fria,UN,46.0,2026-05-28 12:06:36
ING-024,Feijao Carioca,Ingrediente,Camara Fria,UN,37.0,2026-05-28 12:07:36
ING-025,Angu,Ingrediente,Camara Fria,UN,14.0,2026-05-28 12:06:29
ING-026,Pure de Mandioca,Ingrediente,Camara Fria,UN,53.0,2026-05-28 12:05:42
ING-027,Pure de Batata,Ingrediente,Camara Fria,UN,90.0,2026-05-28 12:07:41
ING-028,Espaguete,Ingrediente,Camara Fria,UN,89.0,2026-05-28 12:05:58
ING-029,Molho Bolonhesa,Ingrediente,Camara Fria,UN,73.0,2026-05-28 12:05:56
ING-030,Molho Caponata,Ingrediente,Camara Fria,UN,8.0,2026-05-28 12:06:01
PAN-001,BANANA CARAMELIZADA 200g,Refeicao,Estoque Seco,UN,10.0,2026-05-28 12:23:36
PAN-002,BROWNIES 110g,Refeicao,Estoque Seco,UN,3.0,2026-05-27 11:10:22
PAN-003,CALDO DE CARNE COM MANDIOCA 400g,Refeicao,Camara Fria,UN,2.0,2026-05-27 11:10:22
PAN-004,CALDO DE FRANGO COM MILHO 400g,Refeicao,Camara Fria,UN,0.0,2026-05-27 11:10:22
PAN-005,FAROFA DE BACON 500g,Refeicao,Estoque Seco,UN,7.0,2026-05-27 11:10:22
PAN-006,FAROFA DE CEBOLA 500g,Refeicao,Estoque Seco,UN,14.0,2026-05-27 11:10:22
PAN-007,FRANGO DA SALADA 100g,Refeicao,Camara Fria,UN,5.0,2026-05-27 11:10:22
PAN-009,HAMBURGUER ARTESANAL 120g,Refeicao,Camara Fria,UN,20.0,2026-05-27 11:10:22
PAN-010,KIT BAIAO 350g,Refeicao,Camara Fria,UN,85.0,2026-05-27 11:10:22
PAN-011,KIT COSTELA GOURMET 410g,Refeicao,Camara Fria,UN,53.0,2026-05-27 11:10:22
PAN-012,ESPAGUETE COM POMODORO E ALMONDEGAS - KIDS 300g,Refeicao,Camara Fria,UN,8.0,2026-05-27 11:10:22
PAN-013,KIT ESPAGUETE COM MOLHO BOLONHESA 360g,Refeicao,Camara Fria,UN,73.0,2026-05-27 11:10:22
PAN-014,KIT ESPAGUETE COM MOLHO CAPONATA DE BERINJELA 320g,Refeicao,Camara Fria,UN,8.0,2026-05-27 11:10:22
PAN-015,KIT ESTROGONOFE DE CARNE 330g,Refeicao,Camara Fria,UN,54.0,2026-05-27 11:10:22
PAN-016,KIT ESTROGONOFE DE FRANGO 220g - KIDS,Refeicao,Camara Fria,UN,15.0,2026-05-27 11:10:22
PAN-017,KIT ESTROGONOFE DE FRANGO 330g,Refeicao,Camara Fria,UN,80.0,2026-05-27 11:10:22
PAN-018,KIT FEIJOADA 350g,Refeicao,Camara Fria,UN,30.0,2026-05-27 11:10:22
PAN-019,KIT FRANGO COM QUIABO 410g,Refeicao,Camara Fria,UN,14.0,2026-05-27 11:10:22
PAN-020,KIT FRANGO A PARMEGIANA 330g,Refeicao,Camara Fria,UN,38.0,2026-05-27 11:10:22
