id_item,nome,descricao,categoria,subcategoria,unidade,local,estoque_minimo,estoque_maximo,custo_unitario,fornecedor_id,ativo,obs
HRT-001,Couve Higienizada,Couve Manteiga Cortada e Higienizada,Hortifruti,Folhosa,KG,Geladeira,2,20,8.5,FOR-002,Ativo,Preco variavel
EMB-001,Embalagem Seladora 20x30,Embalagem Plastica Seladora 20x30cm,Embalagem,Embalagem Seladora,UN,Estoque Seco,100,500,0.18,FOR-003,Ativo,Pacote c/ 100un
OPR-001,Luva Descartavel M,Luva Descartavel Tamanho M Sem Po,Operacional,EPI,UN,Estoque Seco,50,300,0.45,FOR-001,Ativo,Caixa com 100 unidades
ING-001,Arroz Branco,Arroz Branco Porcionado,Ingrediente,Base,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
ING-002,Arroz com Caldo de Carne,Arroz com Caldo de Carne Porcionado,Ingrediente,Base,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
ING-003,Arroz com Alcatrao,Arroz com Alcatrao Porcionado,Ingrediente,Base,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
ING-004,Arroz com Brocolis,Arroz com Brocolis Porcionado,Ingrediente,Base,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
ING-005,Feijoada,Feijoada Porcionada,Ingrediente,Proteina,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
ING-006,Estrogonofe de Frango,Estrogonofe de Frango Porcionado,Ingrediente,Proteina,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
ING-007,Frango a Parmegiana,Frango a Parmegiana Porcionado,Ingrediente,Proteina,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
ING-008,Carne com Legumes,Carne com Legumes Porcionada,Ingrediente,Proteina,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
ING-009,Frango com Quiabo,Frango com Quiabo Porcionado,Ingrediente,Proteina,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
ING-010,Moqueca de Banana da Terra,Moqueca de Banana da Terra,Ingrediente,Proteina,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
ING-011,Picadinho de Carne,Picadinho de Carne Porcionado,Ingrediente,Proteina,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
ING-012,Costela Desfiada,Costela Desfiada Porcionada,Ingrediente,Proteina,UN,Camara Fria,50,500,0.0,FOR-001,Ativo,Porcao individual
